127.0.0.1 - - [15/May/2019:16:24:29 +0800] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:53 +0800] "GET /app/vendors/fastclick/lib/fastclick.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:53 +0800] "GET /app/vendors/jquery/dist/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:53 +0800] "GET /app/vendors/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:53 +0800] "GET /app/build/css/custom.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:53 +0800] "GET /app/settings/vendors/iCheck/icheck.min.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:53 +0800] "GET /app/vendors/datatables.net-buttons-bs/js/buttons.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:53 +0800] "GET /app/vendors/datatables.net-buttons/js/dataTables.buttons.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:53 +0800] "GET /app/vendors/datatables.net-buttons/js/buttons.print.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:53 +0800] "GET /app/vendors/datatables.net/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:53 +0800] "GET /app/vendors/datatables.net-bs/js/dataTables.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:53 +0800] "GET /app/vendors/datatables.net-buttons/js/buttons.flash.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:53 +0800] "GET /app/vendors/datatables.net-fixedheader/js/dataTables.fixedHeader.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:53 +0800] "GET /app/vendors/datatables.net-responsive/js/dataTables.responsive.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:53 +0800] "GET /app/vendors/datatables.net-buttons/js/buttons.html5.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:53 +0800] "GET /app/vendors/jszip/dist/jszip.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:53 +0800] "GET /app/vendors/datatables.net-responsive-bs/js/responsive.bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:53 +0800] "GET /app/vendors/sweetalert/sweetalert.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2019:16:32:53 +0800] "GET /app/vendors/pdfmake/build/vfs_fonts.js HTTP/1.1" 304 -
